石,イシ
厳しい,キビシイ
分かれる,ワカレル
びっくり,ビックリ
寂しい,サビシイ
やっと,ヤット
おっしゃる,オッシャル
残念,ザンネン
負ける,マケル
下げる,サゲル
値段,ネダン
会話,カイワ
空気,クウキ
包む,ツツム
恥ずかしい,ハズカシイ
放送,ホウソウ
勝つ,カツ
申す,モウス
なくなる,ナクナル
ガラス,ガラス
特別,トクベツ
けんか,ケンカ
近所,キンジョ
失敗,シッパイ
ずいぶん,ズイブン
専門,センモン
研究,ケンキュウ
世話,セワ
具合,グアイ
集まる,アツマル
急ぐ,イソグ
表,ヒョウ
足りる,タリル
どんどん,ドンドン
すっかり,スッカリ
将来,ショウライ
悲しい,カナシイ
背中,セナカ
準備,ジュンビ
とく,トク
すく,スク
社長,シャチョウ
下がる,サガル
たまに,タマニ
先輩,センパイ
おかげ,オカゲ
たいてい,タイテイ
珍しい,メズラシイ
住所,ジュウショ
両方,リョウホウ
森,モリ
失礼,シツレイ
ビル,ビル
まいる,マイル
安全,アンゼン
趣味,シュミ
熱,ネツ
まじめ,マジメ
遅れる,オクレル
集める,アツメル
卒業,ソツギョウ
布団,フトン
育てる,ソダテル
案内,アンナイ
のど,ノド
鳴る,ナル
機会,キカイ
スーパー,スーパー
塗る,ヌル
戦争,センソウ
計画,ケイカク
倍,バイ
そろそろ,ソロソロ
倒れる,タオレル
試験,シケン
赤ちゃん,アカチャン
触る,サワル
適当,テキトウ
帰り,カエリ
億,オク
邪魔,ジャマ
光る,ヒカル
鏡,キョウ
壊れる,コワレル
なるほど,ナルホド
楽しみ,タノシミ
技術,ギジュツ
承知,ショウチ
虫,ムシ
製,セイ
やせる,ヤセル
細かい,コマカイ
ていねい,テイネイ
素晴らしい,スバラシイ
政治,セイジ
かむ,カム
けが,ケガ
寄る,ヨル
うかがう,ウカガウ
泊まる,トマル
休み,ヤスミ
歴史,レキシ
踏む,フム
しかる,シカル
米,ベイ
星,ホシ
交通,コウツウ
畳,タタミ
遠く,トオク
遊び,アソビ
太る,フトル
軒,ケン
たがる,タガル
訪ねる,タズネル
草,クサ
漫画,マンガ
入院,ニュウイン
移る,ウツル
なるべく,ナルベク
固い,カタイ
以内,イナイ
雲,クモ
遠慮,エンリョ
ごみ,ゴミ
宅,タク
教育,キョウイク
道具,ドウグ
治る,ナオル
小説,ショウセツ
空港,クウコウ
昼間,ヒルマ
てく,テク
留守,ルス
季節,キセツ
やむ,ヤム
間違える,マチガエル
ぬれる,ヌレル
プレゼント,プレゼント
経済,ケイザイ
申し上げる,モウシアゲル
汚れる,ヨゴレル
投げる,ナゲル
出発,シュッパツ
真ん中,マンナカ
田舎,イナカ
機械,キカイ
試合,シアイ
祖母,ソボ
謝る,アヤマル
法律,ホウリツ
つる,ツル
だいぶ,ダイブ
予約,ヨヤク
揺れる,ユレル
工場,コウジョウ
みそ,ミソ
ほめる,ホメル
今夜,コンヤ
文化,ブンカ
着物,キモノ
届ける,トドケル
人形,ニンギョウ
拾う,ヒロウ
騒ぐ,サワグ
親切,シンセツ
スーツ,スーツ
込む,コム
盗む,ヌスム
枝,エダ
手伝う,テツダウ
滑る,スベル
踊る,オドル
壊す,コワス
アルバイト,アルバイト
部長,ブチョウ
糸,イト
店員,テンイン
コンピューター,コンピューター
習慣,シュウカン
みやげ,ミヤゲ
湖,ミズウミ
乾く,カワク
ガス,ガス
祝い,イワイ
複雑,フクザツ
祖父,ソフ
柔らかい,ヤワラカイ
金持ち,カネモチ
ケーキ,ケーキ
祈る,イノル
品物,シナモノ
嬢,ジョウ
とうとう,トウトウ
隅,スミ
台風,タイフウ
建て,ダテ
出席,シュッセキ
下りる,オリル
間に合う,マニアウ
このごろ,コノゴロ
下着,シタギ
会場,カイジョウ
受け付け,ウケツケ
教会,キョウカイ
パート,パート
正月,ショウガツ
国際,コクサイ
パパ,パパ
砂,スナ
ひげ,ヒゲ
棚,タナ
神社,ジンジャ
片付ける,カタヅケル
会議,カイギ
ベル,ベル
アジア,アジア
飾る,カザル
おもちゃ,オモチャ
招待,ショウタイ
科学,カガク
焼ける,ヤケル
海岸,カイガン
ガソリン,ガソリン
旅館,リョカン
カーテン,カーテン
林,リン
ピアノ,ピアノ
見舞い,ミマイ
折れる,オレル
中止,チュウシ
オーバー,オーバー
入学,ニュウガク
引っ越す,ヒッコス
割れる,ワレル
規則,キソク
熱心,ネッシン
指輪,ユビワ
市民,シミン
直る,ナオル
港,ミナト
浅い,アサイ
割合,ワリアイ
支度,シタク
アルコール,アルコール
赤ん坊,アカンボウ
見物,ケンブツ
故障,コショウ
馳走,チソウ
折る,オル
課長,カチョウ
坂,サカ
むなしい,ムナシイ
眠い,ネムイ
差し上げる,サシアゲル
用事,ヨウジ
発音,ハツオン
不便,フベン
輸入,ユニュウ
足す,タス
泥棒,ドロボウ
冷える,ヒエル
いじめる,イジメル
文学,ブンガク
景色,ケシキ
地震,ジシン
人口,ジンコウ
捕まえる,ツカマエル
日記,ニッキ
盛ん,サカン
西洋,セイヨウ
サラダ,サラダ
取り換える,トリカエル
植える,ウエル
テキスト,テキスト
注射,チュウシャ
校長,コウチョウ
電灯,デントウ
乗り換える,ノリカエル
暮れる,クレル
生産,セイサン
コンサート,コンサート
医学,イガク
レジ,レジ
おや,オヤ
退院,タイイン
ちっとも,チットモ
翻訳,ホンヤク
アナウンサー,アナウンサー
スクリーン,スクリーン
家内,カナイ
テニス,テニス
苦い,ニガイ
火事,カジ
手袋,テブクロ
数学,スウガク
置き,オク
抽出,ヒキダシ
拝見,ハイケン
水道,スイドウ
暖房,ダンボウ
水泳,スイエイ
乗り物,ノリモノ
特急,トッキュウ
ブドウ,ブドウ
売り場,ウリバ
競争,キョウソウ
写す,ウツス
産業,サンギョウ
アクセサリー,アクセサリー
郊外,コウガイ
サンダル,サンダル
沸く,ワク
アフリカ,アフリカ
急行,キュウコウ
屋上,オクジョウ
すり,スリ
工業,コウギョウ
絹,キヌ
レポート,レポート
講義,コウギ
小鳥,コトリ
押し入れ,オシイレ
下宿,ゲシュク
花見,ハナミ
汽車,キシャ
地理,チリ
昼休み,ヒルヤスミ
オートバイ,オートバイ
サンドイッチ,サンドイッチ
貿易,ボウエキ
冷房,レイボウ
贈り物,オクリモノ
スーツケース,スーツケース
召し上がる,メシアガル
辞典,ジテン
木綿,モメン
ステレオ,ステレオ
ステーキ,ステーキ
沸かす,ワカス
柔道,ジュウドウ
ワープロ,ワープロ
ジャム,ジャム
学部,ガクブ
文法,ブンポウ
つける,ツケル
ハンバーグ,ハンバーグ
電報,デンポウ
エスカレーター,エスカレーター
輸出,ユシュツ
床屋,トコヤ
忘れ物,ワスレモノ
寝坊,ネボウ
つく,ツク
講堂,コウドウ
予習,ヨシュウ
復習,フクシュウ
展覧,テンラン
的,テキ
者,シャ
よる,ヨル
日本,ニッポン
つく,ツク
って,ッテ
第,ダイ
他,タ／ホカ
性,セイ
対する,タイスル
人間,ニンゲン
おく,オク
知れる,シレル
べし,ベシ
大,ダイ
得る,エル
とも,トモ
数,スウ
すべて,スベテ
さらに,サラニ
つく,ツク
可能,カノウ
カネ,カネ
相手,アイテ
ただ,タダ
感ずる,カンズル
方法,ホウホウ
らしい,ラシイ
法,ホウ
全く,マッタク
生,ナマ
現在,ゲンザイ
存在,ソンザイ
つまり,ツマリ
情報,ジョウホウ
ある,アル
トウキョウ,トウキョウ
％,パーセント
結果,ケッカ
書,ショ
中国,チュウゴク
実,ジツ
すでに,スデニ
あるいは,アルイハ
部分,ブブン
自然,シゼン
状態,ジョウタイ
主義,シュギ
与える,アタエル
人々,ヒトビト
多く,オオク
実際,ジッサイ
違い,チガイ
姿,スガタ
一般,イッパン
示す,シメス
小,ショウ
学,ガク
なんて,ナンテ
こそ,コソ
長,チョウ
従う,シタガウ
元,モト
求める,モトメル
関する,カンスル
自身,ジシン
当時,トウジ
内容,ナイヨウ
かなり,カナリ
地域,チイキ
あの,アノ
感,カン
活動,カツドウ
意識,イシキ
程度,テイド
理解,リカイ
状況,ジョウキョウ
おれ,オレ
最も,モットモ
当たる,アタル
例,レイ
重要,ジュウヨウ
中心,チュウシン
それぞれ,ソレゾレ
しかも,シカモ
社,シャ
一方,イッポウ
使用,シヨウ
目的,モクテキ
みたい,ミタイ
評価,ヒョウカ
及び,オヨビ
個人,コジン
行動,コウドウ
事件,ジケン
のみ,ノミ
基本,キホン
型,カタ
認める,ミトメル
なり,ナリ
さえ,サエ
事実,ジジツ
昭和,ショウワ
述べる,ノベル
館,カン
新,シン
全体,ゼンタイ
いや,イヤ
親,オヤ
号,ゴウ
変化,ヘンカ
当然,トウゼン
起こる,オコル
精神,セイシン
我々,ワレワレ
同時,ドウジ
約,ヤク
かかわる,カカワル
影響,エイキョウ
労働,ロウドウ
環境,カンキョウ
さまざま,サマザマ
世紀,セイキ
系,ケイ
含む,フクム
品,ヒン
制度,セイド
効果,コウカ
以前,イゼン
わが,ワガ
面,メン
思い,オモイ
地方,チホウ
調査,チョウサ
時期,ジキ
現れる,アラワレル
論,ロン
政府,セイフ
自己,ジコ
感じ,カンジ
確認,カクニン
年間,ネンカン
際,サイ
責任,セキニン
企業,キギョウ
あたり,アタリ
事業,ジギョウ
つつ,ツツ
現実,ゲンジツ
組織,ソシキ
管理,カンリ
対象,タイショウ
明らか,アキラカ
保険,ホケン
なお,ナオ
逆,ギャク
機能,キノウ
国民,コクミン
条件,ジョウケン
合わせる,アワセル
表現,ヒョウゲン
判断,ハンダン
一体,イッタイ
気づく,キヅク
はじめ,ハジメ
軍,グン
土地,トチ
神,カミ
願う,ネガウ
あれ,アレ
絶対,ゼッタイ
向ける,ムケル
都市,トシ
すなわち,スナワチ
自ら,ミズカラ
限り,カギリ
章,ショウ
守る,マモル
残す,ノコス
価値,カチ
奥,オク
語る,カタル
離れる,ハナレル
国家,コッカ
なす,ナス
直接,チョクセツ
信ずる,シンズル
対応,タイオウ
行為,コウイ
経つ,タツ
役,ヤク
結局,ケッキョク
異なる,コトナル
奴,ヤツ
フランス,フランス
明治,メイジ
一部,イチブ
ただし,タダシ
各,カク
同様,ドウヨウ
失う,ウシナウ
完全,カンゼン
お前,オマエ
至る,イタル
人生,ジンセイ
不安,フアン
能力,ノウリョク
報告,ホウコク
文字,モジ
院,イン
決定,ケッテイ
なし,ナシ
真,シン
繰り返す,クリカエス
互い,タガイ
参加,サンカ
量,リョウ
なんか,ナンカ
描く,エガク
期間,キカン
権,ケン
大阪,オオサカ
機関,キカン
用いる,モチイル
様子,ヨウス
ぶり,ブリ
ドイツ,ドイツ
許す,ユルス
加える,クワエル
限る,カギル
主,ヌシ
省,ショウ
いかに,イカニ
常,ツネ
むしろ,ムシロ
立場,タチバ
条,ジョウ
代表,ダイヒョウ
構造,コウゾウ
生ずる,ショウズル
考え,カンガエ
システム,システム
局,キョク
たり,タリ
位置,イチ
高,コウ
友人,ユウジン
商品,ショウヒン
官,カン
通ずる,ツウズル
通す,トオス
具体,グタイ
自動,ジドウ
料,リョウ
期待,キタイ
委員,イイン
やがて,ヤガテ
人物,ジンブツ
率,リツ
発生,ハッセイ
おそらく,オソラク
性格,セイカク
種,シュ
中央,チュウオウ
知識,チシキ
江戸,エド
次第,シダイ
身体,シンタイ
動き,ウゴキ
殺す,コロス
指導,シドウ
支配,シハイ
勧める,ススメル
少年,ショウネン
略,リャク
触れる,フレル
事務,ジム
かつて,カツテ
比較,ヒカク
発見,ハッケン
記憶,キオク
作業,サギョウ
現代,ゲンダイ
再,サイ
ごと,ゴト
段階,ダンカイ
胸,ムネ
間違い,マチガイ
種類,シュルイ
過去,カコ
認識,ニンシキ
自体,ジタイ
母親,ハハオヤ
イギリス,イギリス
再び,フタタビ
街,マチ
まあ,マア
同,ドウ
激しい,ハゲシイ
イメージ,イメージ
サービス,サービス
方向,ホウコウ
額,ヒタイ
経営,ケイエイ
天皇,テンノウ
流れる,ナガレル
教授,キョウジュ
業,ギョウ
主張,シュチョウ
せい,セイ
